,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
443,1,Central,2004,05_01_4J336,467.6666666666667
444,1,Central,2004,05_01_4J338,303.5833333333333
445,1,Central,2004,05_01_4J339,1059.0833333333333
446,1,Central,2004,05_01_4J340,289.4166666666667
447,1,Central,2004,05_01_4J348,265.75
448,1,Central,2004,05_01_525L1,1635.0833333333333
449,1,Central,2004,05_01_525L2,3722.5833333333335
450,1,Central,2004,05_01_525L99,0.0
451,1,Central,2004,05_01_552L1,4686.5
452,1,Central,2004,05_01_552L3,1154.3333333333333
453,1,Central,2004,05_01_601J3,638.4166666666666
454,1,Central,2004,05_01_601J4,982.6666666666666
455,1,Central,2004,05_01_601J6,583.3333333333334
456,1,Central,2004,05_01_601J7,993.0
457,1,Central,2004,05_01_601J8,430.75
458,1,Central,2004,05_01_601W1,2165.25
459,1,Central,2004,05_01_601W2,269.5
460,1,Central,2004,05_01_601W3,438.6666666666667
461,1,Central,2004,05_01_601W4,1096.8333333333333
462,1,Central,2004,05_01_601W99,0.0
463,1,Central,2004,05_01_602W1,433.0833333333333
464,1,Central,2004,05_01_602W2,3412.5833333333335
465,1,Central,2004,05_01_602W3,2.0
466,1,Central,2004,05_01_605W1,2776.3333333333335
467,1,Central,2004,05_01_605W99,0.0
468,1,Central,2004,05_01_609W1,1939.75
469,1,Central,2004,05_01_609W2,478.9166666666667
470,1,Central,2004,05_01_609W99,0.0
471,1,Central,2004,05_01_610W3,589.6666666666666
472,1,Central,2004,05_01_612W1,2162.5
473,1,Central,2004,05_01_612W3,1510.75
474,1,Central,2004,05_01_612W99,0.0
475,1,Central,2004,05_01_615H1,0.0
476,1,Central,2004,05_01_6J304,564.0833333333334
477,1,Central,2004,05_01_6J305,81.25
478,1,Central,2004,05_01_6J312,239.0
479,1,Central,2004,05_01_6J316,164.33333333333334
480,1,Central,2004,05_01_6J318,687.8333333333334
481,1,Central,2004,05_01_6J319,383.1666666666667
482,1,Central,2004,05_01_6J326,1107.0833333333333
483,1,Central,2004,05_01_6J342,585.3333333333334
484,1,Central,2004,05_01_6J356,484.1666666666667
485,1,Central,2004,05_01_6W1,1629.4166666666667
486,1,Central,2004,05_01_6W2,3140.25
487,1,Central,2004,05_01_7J386,657.25
488,1,Central,2004,05_01_7J387,383.5833333333333
489,1,Central,2004,05_01_8H8,0.0
490,1,Central,2004,05_01_8H8000,0.0
491,1,Central,2004,05_01_8J364,296.25
492,1,Central,2004,05_01_8J365,1510.9166666666667
493,1,Central,2004,05_01_8J389,860.4166666666666
494,1,Central,2004,05_01_8J99,0.0
495,1,Central,2004,05_01_8W1,2508.75
496,1,Central,2004,05_01_8W2,1696.6666666666667
497,1,Central,2004,05_01_8W8,0.0
498,1,Central,2004,05_01_9999W9999,0.5
499,1,Central,2004,05_01_9J301,46.75
500,1,Central,2004,05_01_9J302,320.5
501,1,Central,2004,05_01_9J303,254.91666666666666
502,1,Central,2004,05_01_9J306,879.5
503,1,Central,2004,05_01_9J307,633.0
504,1,Central,2004,05_01_9J310,572.75
505,1,Central,2004,05_01_9J315,317.25
506,1,Central,2004,05_01_9J320,0.0
507,1,Central,2004,05_01_9J321,867.6666666666666
508,1,Central,2004,05_01_9J327,30.166666666666668
509,1,Central,2004,05_01_9J329,258.5833333333333
510,1,Central,2004,05_01_9J337,1065.5
511,1,Central,2004,05_01_9J352,828.0833333333334
512,1,Central,2004,05_01_9J360,977.25
513,1,Central,2004,05_01_9J382,0.5833333333333334
514,1,Central,2004,05_01_HT,0.0
515,1,Central,2004,05_01_HT1,0.0
516,1,Central,2004,05_01_HT10,0.0
517,1,Central,2004,05_01_HT10A,0.0
518,1,Central,2004,05_01_HT11,37.416666666666664
519,1,Central,2004,05_01_HT12,0.0
520,1,Central,2004,05_01_HT13,0.0
521,1,Central,2004,05_01_HT14,21.5
522,1,Central,2004,05_01_HT15,154.58333333333334
523,1,Central,2004,05_01_HT16,0.0
524,1,Central,2004,05_01_HT17,19.083333333333332
525,1,Central,2004,05_01_HT18,0.0
526,1,Central,2004,05_01_HT19,0.0
527,1,Central,2004,05_01_HT2,31.583333333333332
528,1,Central,2004,05_01_HT20,229.41666666666666
529,1,Central,2004,05_01_HT21,0.0
530,1,Central,2004,05_01_HT22,56.0
531,1,Central,2004,05_01_HT23,1.0
532,1,Central,2004,05_01_HT24,0.5833333333333334
533,1,Central,2004,05_01_HT25,0.0
534,1,Central,2004,05_01_HT26,2.1666666666666665
535,1,Central,2004,05_01_HT27,6.833333333333333
